halpha_e,obs_site,time,reference,time_system,FWHM,bisector,instr,star,airmass,exp_time,sig_to_noise_ratio_in_order_55,barycentric_earth_rv,uncert,halpha,rv,wavelength_calib_technique,source
0.001404109,La Silla Observatory,2454431.832,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.248774712,0.005792745,HARPS,HD72659,NaN,42.3019,54.3,26.11929552,1.812,0.390851694,-25.498,ThAr,Trifonov
0.001253921,La Silla Observatory,2454478.793,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.238501861,0.017625328,HARPS,HD72659,NaN,50.7,60.8,9.263053435,1.746,0.395967365,-23.156,ThAr,Trifonov
0.001334534,La Silla Observatory,2454525.646,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.246837047,0.008806158,HARPS,HD72659,NaN,42.3,56.8,-13.18047999,1.85,0.395978427,-29.422,ThAr,Trifonov
0.00595272,La Silla Observatory,2454547.616,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.278710861,0.040892853,HARPS,HD72659,NaN,5,15.1,-21.50908487,7.893,0.401672832,-30.709,ThAr,Trifonov
0.001265334,La Silla Observatory,2454547.623,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.241913775,0.013604359,HARPS,HD72659,NaN,63.4,58.2,-21.52724146,1.723,0.395593745,-29.521,ThAr,Trifonov
0.002155817,La Silla Observatory,2454549.619,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.250277554,0.027136813,HARPS,HD72659,NaN,60,36.5,-22.13345784,2.774,0.397128859,-22.599,ThAr,Trifonov
0.002122048,La Silla Observatory,2454550.609,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.235688342,0.026547592,HARPS,HD72659,NaN,120,37.2,-22.40767379,2.7,0.395615192,-33.325,ThAr,Trifonov
0.002058468,La Silla Observatory,2454553.604,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.240229914,0.013030887,HARPS,HD72659,NaN,60,38.1,-23.25347787,2.683,0.396438369,-28.873,ThAr,Trifonov
0.00114907,La Silla Observatory,2454554.599,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.244819925,0.01057464,HARPS,HD72659,NaN,60,65.2,-23.51421873,1.512,0.397822667,-30.711,ThAr,Trifonov
0.001158893,La Silla Observatory,2454569.514,"Trifonov et al. (A&A 636, A74 (2020))",BJD,7.246423129,0.004264956,HARPS,HD72659,NaN,120,64.8,-26.4900309,1.635,0.393314203,-23.205,ThAr,Trifonov
